year,month,day,tempMax,tempMin,rhMax,rhMin,precip,solarRad,windSpeed,irrigation,surfaceSoilWaterObs,rootzoneSoilWaterObs,canopyCoverObs
2013,1,2,5.9,-7.9,94.8,48.5,0,10.9,2,0,,,
2013,1,3,5.3,-6.7,96.9,51.8,0,11.8,0.9,0,,,
2013,1,4,9.5,-9,95.2,32.8,0,9.2,1.5,0,,,
2013,1,5,9.9,-0.9,83.7,44.6,0,7.9,2.3,0,,,
2013,1,6,11,-5.9,93.9,27.5,0,12.4,0.8,0,,,
2013,1,7,12,-7.9,88.1,28.2,0,9,1.7,0,,,
2013,1,8,14.8,-1.1,92.1,39.2,0.3,9.1,1.7,0,,,
2013,1,9,12,5.4,96.8,51.3,2,3,2.8,0,,,
2013,1,10,14.3,8.3,97,75.1,4.6,3.1,2.5,0,,,
2013,1,11,20.7,8,90.9,27.4,0,9.4,3.2,0,,,
2013,1,12,13.9,-3.4,86.2,27,0,2.7,4.7,0,,,
2013,1,13,-0.7,-8.4,77.4,42.8,0,12.8,2.8,0,,,
2013,1,14,1.7,-9.9,86.5,32,0,12.1,2.2,0,,,
2013,1,15,2.4,-7.9,83.8,29.6,0.3,8.1,1.7,0,,,
2013,1,16,9,-10.5,91,27.2,0,9.7,0.9,0,,,
2013,1,17,12.7,-3.7,88.9,35.6,0,12.9,1.6,0,,,
2013,1,18,16.2,-3.9,90.1,26.2,0,13,2.6,0,,315,
2013,1,19,18.3,-1.4,86.6,27.5,0,13.3,1.8,0,,,
2013,1,20,17.7,-5.6,94.4,27.7,0,13.4,2.2,0,,,
2013,1,21,5.4,-6.8,67,25.4,0,13.6,1.9,0,,,
2013,1,22,14.6,-7.1,82.2,25.5,0,13.3,1.2,0,,,
2013,1,23,18.6,-5.2,90.3,41.3,0,11.9,0.7,0,,,
2013,1,24,8.2,-1.6,79.3,44.2,0,4,3.3,0,,,
2013,1,25,10.5,-1.7,86.8,34.9,0,11.4,1.8,0,,,
2013,1,26,10.6,-4.4,90.6,53.6,0,6.7,2.1,0,,,
2013,1,27,20.3,6.8,97.7,59.5,0,9.4,4.7,0,,,
2013,1,28,24.8,16.3,88,51.2,0,6.8,4.4,0,,,
2013,1,29,21,4.3,95.7,71.5,18,1.1,3.1,0,,,
2013,1,30,5.7,-3.5,86.2,36.9,0,9.6,3.6,0,,,
2013,1,31,11.8,-5.3,91.1,22,0,14.9,2.8,0,,,
2013,2,1,8.9,-7.5,83.2,24,0,14.9,2.1,0,,,
2013,2,2,15.2,-5.3,94.3,32.9,0,15.1,1,0,,,
2013,2,3,15.7,-3.6,94.1,24.5,0,14.2,2,0,,,
2013,2,4,18.6,0.8,78.3,23.1,0,14.6,2.3,0,,,
2013,2,5,19.4,-4,94.1,21.4,0,15.6,0.6,0,,,
2013,2,6,16.4,-0.1,97.6,76.1,0,3.6,2.4,0,,,
2013,2,7,14.4,4.9,96.6,60,0.5,3.3,3.4,0,,,
2013,2,8,10.6,-3.8,97.1,44.1,0,12.4,1.3,0,,,56.1
2013,2,9,8.3,-0.5,95.2,70.3,0.8,3.3,3.9,0,,,
2013,2,10,16.2,-0.5,95.9,22,2.3,16,3.7,0,,,
2013,2,11,11.1,-2.9,83.1,27.9,0,16.6,1.6,0,,323,
2013,2,12,4.6,-1.1,97.5,53.1,9.7,2.1,2.2,0,,,
2013,2,13,11.5,-0.3,99,33.2,1.3,15,2,0,,,
2013,2,14,15.1,-1.4,85.2,36.7,0,15.8,2.2,0,,,
2013,2,15,6.6,-2.1,85.9,29.2,0,14.2,3.2,0,,,
2013,2,16,10.7,-6,88.3,27.5,0,15.6,1.8,0,,,
2013,2,17,22.9,-3.6,92.3,15.6,0,17.9,2.9,0,,,
2013,2,18,15.1,1.1,72.6,30.7,0,15.4,5,0,,,
2013,2,19,11.1,-6.3,92.2,28.5,0,18.2,1.4,0,,,
2013,2,20,4.8,0.4,97.5,48.3,10.2,2.8,3.9,0,,,
2013,2,21,1.5,-4.8,98.1,75.9,13,2.8,3.3,0,,,
2013,2,22,0.8,-7.1,87.7,53.2,1,18.4,2.1,0,,,
2013,2,23,7.6,-7.6,95,39.2,4.3,16,0.9,0,,,
2013,2,24,17.8,-2,84.2,31.5,1.5,18.4,3.5,0,,,
2013,2,25,8.7,0.3,98.1,62,24.6,1.4,2,0,,,
2013,2,26,5.4,-0.9,95.5,64.4,9.9,18.8,3.9,0,,,
2013,2,27,6.4,-2.2,88,51.9,0,19.1,3,0,,380,
2013,2,28,7.3,-2,88.6,57,0,19.1,2.6,0,,,
2013,3,1,4.7,-3.4,93.4,54,0,10.3,2.7,0,,,
2013,3,2,9.3,-4.7,85.8,31.5,0,20.1,1.1,0,,,
2013,3,3,21.9,-1.6,83.1,20.8,0,18.1,3.1,0,,,
2013,3,4,20.9,4.9,76.1,30.3,0,19.6,3.4,0,,,71.5
2013,3,5,8.9,-2,81.2,31,0,21,3.8,0,,,
2013,3,6,11.2,-6.8,92.9,22.5,0,18.6,1.5,0,,,
2013,3,7,21.2,1.3,67.7,17.2,0,20.6,3.6,0,,,
2013,3,8,16.4,9,65.1,44.2,0,8.4,4.6,0,,,
2013,3,9,16.7,11.9,95.3,55.5,1.5,3.4,4.1,0,,,
2013,3,10,12.5,0.6,92.1,65.1,0.3,2.9,3.8,0,,,
2013,3,11,11.9,-2.7,88.8,20.8,0,22,1.7,0,,,
2013,3,12,15.5,-2,87.7,25.5,0,18.3,1.5,0,,,
2013,3,13,16.3,-4.3,93.9,23.7,0,18.1,1.7,0,,,
2013,3,14,26.6,6,71.8,19.6,0,20.6,2.1,0,,,
2013,3,15,28.8,4.4,86.9,19.7,0,21.4,2.6,0,,,
2013,3,16,21.5,7.9,68.8,34.5,0,19.2,4.6,0,,,
2013,3,17,7.6,4.2,91.1,69.8,0.8,3.1,3,0,,,
2013,3,18,16.6,0.5,94.4,20.5,0,21.4,3,0,,,
2013,3,19,16.1,-1.8,87.4,25.5,0,16.7,2.4,0,,368,87.3
2013,3,20,12.4,-2.7,93.5,25.9,0,22.3,2.2,0,,,
2013,3,21,9.4,3.2,74.2,42,0,6,4.8,0,,,
2013,3,22,8.3,2.6,93.3,65.9,4.8,7.1,3.4,0,,,
2013,3,23,5.4,1.3,95,79.2,1.8,2.8,3.3,0,,,
2013,3,24,4.7,-2.7,93.8,41.8,0.5,19.7,4.5,0,,,
2013,3,25,5.7,-4.5,77,31.9,0,21.4,3.4,0,,,
2013,3,26,12.1,-6.6,86.7,19.8,0,24.6,1.4,0,,,
2013,3,27,21.4,4.4,53.9,24.7,0,18.2,3.9,0,,,
2013,3,28,23.5,5.3,71.3,37.1,0,18.6,2.4,0,,,
2013,3,29,24.5,10.2,93.8,49.1,18.3,14.6,2.1,0,,,
2013,3,30,26.7,11.4,96.3,31.3,0.5,19.4,1.8,0,,,
2013,3,31,21,7.2,94.7,28.3,0,24.8,2.6,0,,,
2013,4,1,16.3,4,93.7,46.8,1.5,18.1,3.5,0,,,
2013,4,2,5.5,3,94.7,57.2,19.3,1.7,4.5,0,,,
2013,4,3,4.6,3.2,95.2,78.9,33.3,2.8,3.1,0,,,
2013,4,4,13.6,0.8,96.6,47,6.4,21.7,1.9,0,,,
2013,4,5,20.7,1,97.2,33.3,0,23.8,2.6,0,,,
2013,4,6,24.7,11,90.8,35.8,0,22.7,3.1,0,,,
2013,4,7,19.6,7.4,97,72,0,7.5,2.8,0,,,
2013,4,8,26.9,17.7,81.4,50.2,0,13.2,4.4,0,,,
2013,4,9,27,3,88.9,52.5,0.5,11.1,4.5,0,,,
2013,4,10,3.5,0.5,92.7,75.9,29.5,4.5,4,0,,,
2013,4,11,12.4,-1.3,89.1,40.1,0,26.9,1.9,0,,,
2013,4,12,14.1,1.6,94.1,39,0,21.7,1.7,0,,,97.3
2013,4,13,25.1,7.9,93,26.1,6.9,24.4,4.2,0,,,
2013,4,14,27.2,14.3,87.9,33,1.3,23.4,4.1,0,,,
2013,4,15,23.4,11.2,59.8,28.3,0,21.9,4.3,0,,358,
2013,4,16,11.4,8.3,91.2,59,0,4.8,3.6,0,,,
2013,4,17,17,7.8,97.3,76.6,19.6,4.9,2.2,0,,,
2013,4,18,7.8,2.9,92.1,52.3,4.3,9.3,4.6,0,,,
2013,4,19,18,0.4,77.5,24.3,0,28.2,2.7,0,,,
2013,4,20,22.5,2.4,92.9,17.8,0,23.3,2.8,0,,,
2013,4,21,21.1,12.7,59.2,34.6,0,25.9,3.9,0,,,
2013,4,22,25.4,8.7,90.8,41.9,1.3,16.7,3.4,0,,,
2013,4,23,11.8,2.2,93.9,71.2,1.8,4.1,4.9,0,,,
2013,4,24,14.2,-1,94.3,29.8,0,29.1,1.6,0,,,
2013,4,25,21.7,0.5,93.2,19.2,0,24.5,1.9,0,,,
2013,4,26,16.3,11.8,96.5,41.1,9.7,3.3,3.1,0,,,
2013,4,27,16.5,8.4,97,70,0.3,10.4,2.3,0,,,
2013,4,28,28.9,5.7,97.7,16.8,0,28.6,2,0,,,
2013,4,29,31.7,16.3,88.6,21.6,0,28.5,3.6,0,,,
2013,4,30,29.6,18.3,75.8,31.1,0,28.3,4.2,0,,,
2013,5,1,28.7,7.3,88.9,41.3,0,25.5,4,0,,,
2013,5,2,7.3,1,98,66,5.1,4,4.9,0,,,
2013,5,3,16.1,0.3,99.6,24.1,0,28.4,2.8,0,,,98.5
2013,5,4,9.9,3.4,87.5,47.1,0,7.3,3.6,0,,,
2013,5,5,16.4,7.3,98.6,63.5,0,11.5,2.3,0,,,
2013,5,6,22.1,4.4,100,47.4,0,15,1.2,0,,,
2013,5,7,26.7,9.4,97.4,30,0,25.3,1.7,0,,,
2013,5,8,30.1,16,95.8,29.6,5.6,18.8,3.3,0,,,
2013,5,9,21.1,12.9,99.7,69.7,16.8,9,1.5,0,,,
2013,5,10,22.3,11.1,99.4,49.5,0.3,14.6,2,0,,,
2013,5,11,24.6,8,99.9,27.1,0,28.4,1.9,0,,,
2013,5,12,23.5,4.9,98.8,27.7,0,28.6,2,0,,,
2013,5,13,31.5,12.3,70.6,26.8,0,29.7,2.1,0,,287,
2013,5,14,32.4,20.7,56.1,20.1,0,29.9,4.1,0,,,
2013,5,15,23.4,17,97,55.5,1.5,8.3,2.4,0,,,
2013,5,16,24.3,15.5,98.2,60.5,0.3,16.6,1.4,0,,,
2013,5,17,25.4,13.2,100,74.7,0,10.8,2,0,,,96.9
2013,5,18,32.5,19.3,95.9,46.5,2.8,18.3,3.9,0,,,
2013,5,19,30.7,18.2,93.6,53.7,0.3,23.2,3.8,0,,,
2013,5,20,29.3,17.8,97.7,58.1,0.8,14.6,1.4,0,,,
2013,5,21,20.1,12.4,97.8,63.2,3.6,9.6,1.6,0,,,
2013,5,22,26.4,9.8,99.7,38,0.3,30.1,1.1,0,,262,
2013,5,23,18.9,13.2,99.5,77.1,29,5.3,1.5,0,,,
2013,5,24,26.5,13.1,99.6,70.5,0,20.8,3.2,0,,,
2013,5,25,27.9,18,95.9,59.4,0.5,23.6,3.2,0,,,
2013,5,26,28.9,19.6,93.4,61.1,0,15.3,3.7,0,,,
2013,5,27,27.9,21.8,91,61.8,0,18.9,4.8,0,,,
2013,5,28,26.8,22.2,81.6,63.1,0,14.8,4.1,0,,,
2013,5,29,27,16.5,96.9,66.2,34.5,13.6,4.2,0,,,
2013,5,30,27.8,16.5,98.6,67.3,38.6,12.7,3.4,0,,,
2013,5,31,30.8,19.5,95.4,60.3,18.3,19.5,3,0,,,
2013,6,1,25.5,15.6,98.1,43.1,1.3,29.4,2.2,0,,,
2013,6,2,23.1,12.8,89.3,41.2,0,31.1,2.3,0,,,
2013,6,3,27.8,13.1,95.4,44.6,0,28.2,2.9,0,,,
2013,6,4,28.8,19,95.7,59,9.7,22.8,3.1,0,,,
2013,6,5,27.3,18,96.8,59,19.6,23.3,2.3,0,,,
2013,6,6,25.8,13.9,97.6,38.8,0,22.8,2.3,0,,,
2013,6,7,27.8,12.4,98.8,36.8,0,29.5,0.8,0,,,
2013,6,8,27.8,17.3,87,44.8,0.5,21.8,2.9,0,,,
2013,6,9,31.1,18.3,91.7,30.5,0,30.9,1.7,0,,,
2013,6,10,34.8,18.6,91.7,33.9,0,30,2.4,0,,,
2013,6,11,34.2,22.8,69.2,32.9,0,31.1,3.5,0,,,
2013,6,12,34.8,24.2,77.9,39,0,29.5,3.6,0,,,
2013,6,13,35,21.8,93.3,47.1,0,29.4,1.8,0,,,
2013,6,14,34.9,22.3,91.5,41.3,0,27.2,1.9,0,,,
2013,6,15,29.8,21,96.7,69.8,42.7,10.6,2.1,0,,,
2013,6,16,33,21.4,97.8,52.4,0.8,24.3,1.8,0,,,
2013,6,17,27.7,18.6,98,56.5,18.5,18.4,1.7,0,,,
2013,6,18,30.9,17.8,99.1,42.8,0,28.2,1.2,0,,,
2013,6,19,29.1,18.4,97.2,56.8,0,23.2,2.4,0,,,
2013,6,20,33.7,22.4,90.5,47.2,0,29.3,4,0,,,
2013,6,21,33,24.5,77.6,50.8,0,26,3.6,0,,,
2013,6,22,33.2,23.3,80.6,35.1,0,28.6,3.8,0,,,
2013,6,23,33.6,24,78.5,38.4,0,28.2,3.9,0,,,
2013,6,24,32.5,23.4,81.3,45.8,0,25,3.7,0,,,
2013,6,25,32.8,24.2,79.5,52.2,0.3,21.9,3.8,0,,,
2013,6,26,34.9,24.2,82.3,49.3,0,28.3,2.4,0,,330,
